FARBEN_ID;INSERT_AM;INSERT_VON;UPDATE_AM;UPDATE_VON;FARBE;FARBE_BEZ
1,0;17.12.2002 11:43;;17.10.2006 13:17;;"$0000FFFF";"gelb"
2,0;17.12.2002 11:43;;14.06.2007 16:21;;"$00008000";"gruen"
3,0;17.12.2002 11:43;;17.10.2006 13:17;;"$000000FF";"rot"
4,0;17.12.2002 11:43;;17.10.2006 13:18;;"$00FF0000";"blau"
5,0;17.12.2002 11:45;;17.10.2006 13:18;;"$00000000";"schwarz"
6,0;17.12.2002 11:45;;15.07.2003 19:20;;"$0000FF00";"clLime"
7,0;17.12.2002 11:45;;17.10.2006 13:18;;"$00008080";"oliv"
8,0;18.12.2002 09:15;;17.10.2006 13:18;;"$00000080";"braun"
9,0;18.12.2002 09:15;;15.07.2003 19:21;;"$00800000";"clNavy"
10,0;18.12.2002 09:16;;22.09.2021 14:01;;"$00800080";"lila"
11,0;18.12.2002 09:16;;15.07.2003 19:21;;"$00808000";"clTeal"
12,0;18.12.2002 09:17;;17.10.2006 13:18;;"$00808080";"grau"
125,0;26.09.2008 13:27;;;;"$0000FFFF";"clYellow"
126,0;26.09.2008 13:27;;;;"$000000FF";"clRed"
127,0;26.09.2008 13:27;;;;"$00008000";"clGreen"
13,0;18.12.2002 09:17;;17.10.2006 13:18;;"$00C0C0C0";"silber"
14,0;18.12.2002 09:17;;15.07.2003 19:21;;"$00FF00FF";"clFuchsia"
15,0;18.12.2002 09:18;;15.07.2003 19:21;;"$00FFFF00";"clAqua"
16,0;18.12.2002 09:18;;17.10.2006 13:18;;"$00C0C0C0";"hellgrau"
17,0;18.12.2002 09:18;;17.10.2006 13:18;;"$00808080";"dunkelgrau"
18,0;18.12.2002 09:18;;17.10.2006 13:18;;"$00FFFFFF";"weiß"
19,0;18.12.2002 09:19;;15.07.2003 19:21;;"$00C0DCC0";"clMoneyGreen"
20,0;18.12.2002 09:20;;17.10.2006 13:19;;"$00F0CAA6";"himmelblau"
21,0;18.12.2002 09:20;;15.07.2003 19:22;;"$00F0FBFF";"clCream"
22,0;18.12.2002 09:20;;15.07.2003 19:22;;"$00A4A0A0";"clMedGray"
0,0;13.02.2003 19:06;;13.02.2003 19:08;;;"Farbtabelle"
123,0;16.10.2006 10:54;;;;"$0000CCFF";"clYellow2"
124,0;17.10.2006 08:30;;17.10.2006 13:19;;"$000066FF";"orange"
128,0;29.06.2020 16:38;;30.06.2020 08:52;;;
